Country,0-0.5%,0.5-2%,2-5%,5-10%,10-15%,15-30%,30-45%,>45%
Czech Republic,4829.51,20472.13,29265.61,17114.76,5061.16,1997.87,11.19,0.00
Côte d'Ivoire,15368.07,177382.50,111094.26,10742.87,3261.88,2224.86,57.98,0.72
Democratic People's Republic of Korea,4786.56,8539.60,12657.54,21772.11,26097.54,45883.41,1459.36,1.93
Democratic Republic of the Congo,325543.74,866030.37,759598.28,269671.99,63085.30,39764.86,1462.01,16.00
Denmark,14435.91,21248.63,4392.59,326.13,8.03,0.90,0.00,0.00
Djibouti,2468.04,6327.05,5028.19,3742.52,2002.12,1847.52,129.64,1.01
Dominica,0.15,5.11,37.63,140.82,168.37,238.23,31.37,0.41
Dominican Republic,6190.25,10689.18,9348.77,8080.57,5441.93,6963.44,544.75,3.78
Ecuador,23799.70,51202.82,45000.29,40075.97,29623.54,53320.82,9778.23,189.78
Egypt,358920.16,411728.88,146025.68,50122.49,16533.14,14079.19,1083.08,15.93
El Salvador,1647.90,2940.37,4286.26,5088.18,3269.51,2878.69,105.56,0.88
Equatorial Guinea,458.85,5649.86,10320.90,5605.08,2145.59,2056.62,99.06,7.15
Eritrea,16092.81,37959.79,17996.50,16380.95,11871.31,18999.62,1918.15,20.82
Estonia,21196.28,21247.91,1993.53,100.56,4.63,0.25,0.00,0.00
Ethiopia,202538.96,291357.26,228125.79,183365.44,98891.74,111562.52,11114.01,444.27
Faroe Islands,2.86,10.79,64.27,196.03,214.43,358.29,77.39,7.39
Fiji,600.73,1368.41,2994.80,5281.59,3812.23,2831.13,87.48,1.48
Finland,96728.16,155517.71,64250.86,14245.50,1535.53,272.85,3.43,0.03
France,70306.71,204079.81,186635.33,99553.38,39267.30,48595.61,9582.33,662.62
Gabon,12367.73,55692.67,100175.62,63628.23,18084.94,8829.93,62.97,0.09
Gambia,5628.30,4433.56,284.99,19.35,0.03,0.00,0.00,0.00
Georgia,4833.89,6921.39,7669.36,10559.52,8756.98,22834.84,7437.28,200.86
Germany,89365.06,112987.58,83029.38,46910.59,14955.67,8390.83,688.97,61.18
Ghana,41964.79,126439.28,54289.74,10000.39,3401.00,1857.50,50.30,0.23
Greece,10790.13,11099.66,18508.26,27495.36,22417.17,31224.59,3324.19,82.35
Greenland,1177213.14,463448.34,185468.84,117250.06,61553.92,86809.39,25695.82,2834.02
Grenada,0.68,8.79,40.24,110.54,75.80,52.39,1.88,0.00
Guatemala,13681.11,24064.35,17967.22,17469.16,13269.73,19373.54,2454.04,59.91
Guinea,13479.77,81007.36,86326.18,40822.26,14335.59,7458.68,393.41,29.94
Guinea-Bissau,10502.08,17962.21,3012.91,397.46,30.56,0.59,0.00,0.00
Guyana,32084.12,75424.36,63163.35,24723.20,8090.02,6495.41,493.31,45.34
Haiti,1681.57,3045.54,4458.61,5609.53,4468.79,5754.27,515.19,7.31
Holy See,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Honduras,11343.51,12728.22,12457.59,23034.03,22728.83,27603.87,1255.12,16.32
Hong Kong,32.02,101.27,114.25,162.64,167.12,254.17,10.47,0.02
Hungary,52951.29,18647.76,11443.01,7725.56,1798.96,616.40,2.24,0.00
Iceland,13646.67,26336.54,24066.66,16184.60,7971.86,9947.45,1468.00,52.34
India,1154680.63,1035628.79,313696.99,185970.97,117859.09,241243.46,88903.59,6386.72
Indonesia,381078.24,420943.93,279834.53,258158.97,193104.70,272349.75,28814.39,1016.04
Iran,308889.40,431875.40,313721.78,231565.29,135502.70,174824.42,23081.22,864.87
Iraq,283001.70,105883.13,23262.26,9704.99,5431.87,8625.65,1318.39,47.15
Ireland,8915.58,26400.97,19789.10,8644.96,2490.29,1547.58,133.00,1.75
Israel,1930.85,7635.75,6478.35,3631.08,1267.20,807.44,40.96,0.20
Italy,47334.63,38044.44,36457.18,57500.50,42723.38,58486.39,15038.32,1061.37
Jamaica,810.56,1274.47,2379.77,2928.02,1507.21,1383.02,133.05,0.63
Japan,28120.72,36814.99,48616.48,77164.32,65330.48,97714.61,9015.83,26.48
Jordan,28938.12,37560.74,11490.84,5213.86,2720.86,2641.61,275.38,6.76
Kazakhstan,1572703.03,817139.56,178612.43,67758.45,31797.65,44107.36,8408.89,147.87
Kenya,236289.04,187322.81,87429.04,40558.84,16914.27,15589.74,1213.79,32.61
Kiribati,287.80,51.90,9.51,0.03,0.00,0.00,0.00,0.00
Kuwait,12992.14,4099.13,93.38,6.90,0.21,0.00,0.00,0.00
Kyrgyzstan,11028.31,16391.10,18894.01,26879.62,26118.10,68317.61,29608.93,1731.01
Lao People's Democratic Republic,13360.23,32579.63,23095.31,38917.86,42901.27,72567.14,4512.93,164.91
Latvia,20152.63,38056.44,5702.11,267.55,6.11,0.59,0.00,0.00
Lebanon,312.74,929.19,1623.01,2636.16,2091.63,2069.79,154.41,3.82
Lesotho,64.69,1378.25,3888.64,6770.51,6642.27,10882.59,472.58,7.59
Liberia,2804.58,38067.87,38889.14,10562.50,3044.25,1337.63,21.99,0.07
Libya,810787.35,580175.86,164197.04,50079.98,11530.34,4894.95,213.05,10.74
Liechtenstein,20.69,18.48,6.46,12.19,9.41,41.32,28.15,2.70
Lithuania,25145.47,32961.36,6232.74,503.54,12.94,0.11,0.00,0.00
Luxembourg,20.32,517.30,1112.47,665.52,214.85,75.58,0.33,0.00
Madagascar,49073.45,147354.46,157742.85,125025.02,61322.70,45437.27,1624.18,43.15
Malawi,34912.41,34535.01,24611.30,13369.85,6242.88,5466.91,233.62,16.25
Malaysia,41587.86,59100.60,56063.97,57849.45,49099.80,58145.66,1748.29,47.29
Maldives,3.79,4.63,0.29,0.00,0.00,0.00,0.00,0.00
Mali,751317.75,415137.37,63699.49,16688.15,3837.12,1742.74,86.76,14.46
Malta,2.66,63.47,100.56,44.98,12.26,4.08,0.35,0.00
Marshall Islands,0.74,5.76,3.11,0.02,0.00,0.00,0.00,0.00
Mauritania,635326.47,325506.72,62715.72,8684.14,1945.32,1406.65,55.07,0.10
Mauritius,82.54,820.44,505.07,177.22,105.24,121.64,9.21,0.12
Mexico,362026.50,460686.29,315623.14,285855.99,200957.19,284425.57,31761.41,1227.62
Micronesia (Federated States of),5.37,67.44,91.13,93.55,67.35,75.50,5.27,0.02
Moldova,2695.96,7461.86,14687.53,7596.24,694.61,65.54,0.02,0.00
Monaco,0.00,0.02,0.32,1.44,2.77,6.30,1.46,0.00
Mongolia,212707.55,605807.56,318911.14,207765.72,117531.37,95060.56,6844.34,57.75
Montenegro,517.33,561.91,1594.08,3131.71,2808.98,4177.77,730.19,54.57
Morocco,174786.75,175104.57,88102.88,67342.13,38553.46,41862.37,3526.15,67.95
Mozambique,203814.65,347287.55,170771.40,35613.61,14302.94,13583.73,947.65,78.41
Myanmar,97787.49,108973.30,93952.73,96592.92,86277.27,156151.92,19820.73,507.75
Namibia,369730.03,265814.83,98482.18,46443.29,20051.88,19522.34,925.80,12.47
Nauru,0.52,8.63,6.11,1.03,0.00,0.00,0.00,0.00
Nepal,16672.90,8779.83,4736.45,7953.73,12287.63,60010.40,33155.56,3516.25
Netherlands,32527.98,3706.27,499.47,83.38,11.96,6.10,1.86,0.01
New Zealand,20563.67,29683.36,38251.35,50948.59,36805.21,64844.59,18097.23,1183.33
Nicaragua,28091.08,33299.81,25244.52,21476.18,11406.81,7815.72,147.30,2.10
Niger,602385.92,429766.32,117413.30,21903.34,5738.93,3808.16,243.34,8.31
Nigeria,270776.98,446798.49,131146.18,30495.82,12482.37,14007.76,877.73,5.52
Niue,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Norway,15189.67,53335.47,87227.65,90495.83,48887.09,57542.11,13878.27,1391.36
Oman,170759.47,67674.81,26986.57,19482.85,10237.24,12201.30,1740.64,148.60
Pakistan,319731.43,166288.70,106136.53,78221.24,51545.39,92835.59,50461.19,5880.00
Palau,3.49,35.38,117.25,127.99,21.52,4.76,0.00,0.00
Palestine,279.03,776.86,1600.44,2142.78,979.53,471.47,12.48,0.53
Panama,4797.11,13017.39,14415.74,15890.15,11418.49,12040.47,683.24,3.53
Papua New Guinea,66511.26,92995.53,58461.82,63400.36,55086.30,100561.28,16033.91,577.95
Paraguay,279878.31,66864.12,45567.25,6249.84,905.03,429.72,5.64,0.00
Peru,191126.10,298178.79,190722.27,149357.25,126113.81,254214.48,73947.13,2668.45
Philippines,31464.49,41133.43,46372.07,56756.27,41830.46,55185.63,5474.25,110.09
Poland,100467.53,153672.08,40375.48,11890.74,4231.54,2066.31,44.90,1.86
Portugal,3382.85,21802.07,29992.70,19947.42,8548.20,5874.44,234.46,29.70
Qatar,8175.80,2441.89,153.01,5.37,0.04,0.00,0.00,0.00
Republic of Korea (South Korea),4230.07,9828.60,14603.36,21381.42,19146.74,26274.42,548.92,0.29
Romania,60607.02,34052.68,36152.07,50352.86,27082.54,26654.94,1342.47,9.67
Russian Federation,4189455.02,5240609.87,3308804.62,1954407.37,978597.24,1140775.43,109015.51,1623.87
Rwanda,2177.77,1234.67,4426.00,7610.13,5025.90,4740.14,95.47,0.38
Saint Kitts and Nevis,1.53,8.27,42.36,57.79,34.45,38.32,4.00,0.02
Saint Lucia,2.73,18.73,67.33,174.91,146.25,106.10,8.08,0.36
Saint Vincent and the Grenadines,0.36,2.05,15.91,73.37,83.65,106.59,7.32,0.18
Samoa,44.44,371.85,925.43,786.11,189.00,144.16,22.56,1.68
San Marino,0.00,0.38,6.81,31.78,16.70,4.82,0.23,0.00
Saudi Arabia,758501.61,686484.81,262528.56,115914.76,44901.24,45396.58,4221.44,88.31
Senegal,133683.23,55991.93,4777.04,903.92,193.51,88.17,0.92,0.00
Serbia,22400.20,6993.72,10182.30,16515.79,10900.81,10311.13,273.81,3.58
Seychelles,22.44,17.02,8.51,23.00,34.22,55.58,3.52,0.04
Sierra Leone,6391.89,26367.32,21990.69,9595.70,4165.99,2434.94,67.83,1.72
Singapore,60.85,281.78,119.66,13.81,2.04,0.55,0.00,0.00
Slovakia,7920.29,6021.60,8384.09,11069.80,7658.64,7124.35,286.01,8.86
Slovenia,1384.65,1852.36,3151.54,4941.96,3487.38,4524.06,870.14,101.28
Solomon Islands,485.15,1849.61,3304.94,5890.66,4892.47,6159.92,662.45,9.89
Somalia,374153.26,172874.06,42255.93,23594.83,12007.95,11312.85,684.07,35.04
South Africa,264728.89,457718.62,235610.06,135224.31,62664.68,58218.43,3592.80,157.17
South Sudan,379802.07,202234.63,31834.37,5945.89,2996.82,3704.76,319.49,4.83
Spain,34582.30,114120.27,136641.65,101972.95,54088.40,57321.68,4610.51,162.80
Sri Lanka,15287.68,28416.80,6619.92,5439.43,3975.16,4487.67,353.27,10.95
Sudan,1135838.11,563997.92,84096.08,38100.82,16927.79,16409.62,959.04,7.90
Suriname,21633.31,44908.65,48857.48,19166.96,6217.47,3931.69,81.92,1.32
Swaziland,241.79,3361.85,5554.59,4454.03,2096.03,1382.46,33.63,0.12
Sweden,64837.48,162296.61,132410.98,62343.77,14466.79,6697.34,650.43,28.82
Switzerland,2054.29,3186.00,4872.29,5877.07,4876.55,13088.38,6689.92,777.69
Syrian Arab Republic,68579.68,82937.68,20576.28,7928.76,3389.12,2363.74,66.65,0.01
São Tomé and Principe,1.46,45.50,142.44,210.75,173.26,264.13,54.18,3.21
Taiwan,5194.14,4167.31,2219.74,2878.85,3165.78,12090.62,5379.23,233.08
Tajikistan,6012.09,10415.97,12272.12,16358.56,15314.68,49920.07,29442.63,2503.70
Thailand,150850.23,144118.52,55559.42,56710.38,46952.35,55322.37,1951.56,51.22
The former Yugoslav Republic of Macedonia,1811.23,1778.11,3238.14,5696.29,5001.58,7438.05,422.09,3.19
Timor-Leste,490.73,1451.66,1548.65,4127.80,3590.33,3146.20,243.25,10.62
Togo,6520.29,34969.41,9852.95,3093.50,1293.94,1062.17,43.95,0.69
Tonga,110.66,110.55,66.03,38.97,17.57,20.58,1.79,0.00
Trinidad and Tobago,591.26,1843.39,1126.03,504.90,306.52,368.69,16.58,0.08
Tunisia,46956.70,59569.60,29638.66,13644.13,3999.80,1771.60,36.08,0.31
Turkey,60503.91,99448.43,153956.31,182389.31,121158.51,143911.97,13986.72,344.91
Turkmenistan,262184.50,135009.45,48077.48,17094.24,4998.60,3142.99,324.74,14.09
Tuvalu,0.35,1.68,1.24,0.00,0.00,0.00,0.00,0.00
Uganda,63754.04,88708.55,54550.44,20348.37,6554.46,7247.17,581.82,26.26
Ukraine,176907.47,242708.68,111552.95,24720.68,6963.93,7985.95,152.93,0.00
United Arab Emirates,26435.54,29210.14,9313.01,3114.28,938.38,1161.55,119.67,7.36
United Kingdom,26443.86,72720.44,72536.23,42493.56,15220.35,11611.32,1378.26,93.57
United Republic of Tanzania,219424.39,352037.05,216174.81,85330.11,35741.88,30029.70,1584.42,51.11
United States of America,2124125.66,3039086.55,1895313.35,1043339.61,547296.31,679513.74,105107.83,5019.92
Uruguay,28771.21,99998.76,42131.32,5167.93,551.42,121.27,0.06,0.00
Uzbekistan,255970.17,117317.73,34684.66,14522.74,7905.11,13752.83,3633.49,148.61
Vanuatu,161.50,1304.22,2039.91,2475.84,1687.50,2118.19,244.72,2.08
Venezuela,284470.61,231850.70,138847.08,104752.70,64110.81,75501.88,8872.92,589.19
Vietnam,70773.29,41841.89,38640.45,45866.68,43375.50,77755.62,7481.28,188.60
Western Sahara,67880.32,19106.56,2430.23,749.41,235.73,112.24,1.13,0.00
Yemen,80214.31,117562.13,90578.29,71224.68,38342.75,46368.37,6434.50,225.18
Zambia,268385.21,325661.69,114302.67,26439.69,9557.77,7309.59,215.09,1.90
Zimbabwe,66713.79,189748.44,83979.43,28874.47,11309.64,8427.71,271.57,5.25
