Country,Af,Am,Aw,BWh,BWk,BSh,BSk,Csa,Csb,Csc,Cwa,Cwb,Cwc,Cfa,Cfb,Cfc,Dsa,Dsb,Dsc,Dsd,Dwa,Dwb,Dwc,Dwd,Dfa,Dfb,Dfc,Dfd,ET,EF
Bangladesh,0.00,90656.67,44563.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Barbados,0.00,0.00,418.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Belarus,0.00,0.00,0.00,0.00,0.00,0.00,77.05,0.00,0.00,0.00,0.00,0.00,0.00,69825.61,80.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83466.46,54053.44,0.00,0.00,0.00,0.00
Belgium,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17613.46,12979.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Belize,0.00,9120.92,12818.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Benin,0.00,0.00,108735.44,0.00,0.00,7130.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bhutan,0.00,2975.22,13.73,0.00,0.00,0.00,84.70,0.00,0.00,0.00,12914.84,14502.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3512.72,2666.76,0.00,0.00,0.00,0.00,0.00,3698.18,3.03
Bolivia,22311.32,131515.44,540975.49,857.22,99330.89,122121.25,90877.77,0.00,0.00,0.00,9190.08,63628.00,369.17,29.35,705.80,5.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4909.83,0.00
Bosnia and Herzegovina,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11791.43,26.18,0.00,0.00,0.00,0.00,35323.32,2187.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2490.19,0.00,0.00,0.00,0.00
Botswana,0.00,0.00,0.00,442793.35,0.00,136199.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brazil,1090585.66,1666680.54,4546754.91,31164.22,0.00,658535.04,0.00,0.00,0.00,0.00,9359.22,2042.80,0.00,458547.65,4850.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brunei,5666.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bulgaria,0.00,0.00,0.00,0.00,0.00,418.59,92824.10,5718.67,3.22,0.00,0.00,0.00,0.00,8422.37,0.63,0.00,797.66,3091.66,0.00,0.00,0.00,0.00,0.00,0.00,334.31,1085.75,0.00,0.00,0.00,0.00
Burkina Faso,0.00,0.00,98706.12,25572.20,0.00,148528.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Burundi,0.00,0.00,26818.68,0.00,0.00,0.00,0.00,0.00,226.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cambodia,0.00,37555.71,143371.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cameroon,8713.61,157639.43,273684.48,2518.73,0.00,21036.62,0.00,2.55,303.57,0.00,0.00,0.00,0.00,0.00,243.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Canada,0.00,0.00,0.00,0.00,75.77,0.00,496921.14,12779.75,18965.43,1.88,0.00,0.00,0.00,74089.49,91346.63,87.33,4199.69,286089.77,1139559.24,0.00,0.00,133.21,44565.26,0.00,1656847.23,3383483.68,1870479.09,0.00,797403.04,9063.23
Cape Verde,0.00,0.00,0.00,3465.91,10.64,61.16,90.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Central African Republic,172.28,27111.82,573530.96,0.00,0.00,17173.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chad,0.00,0.00,197433.97,832906.16,797.40,235156.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chile,0.00,0.00,144.95,106888.51,170768.72,7523.57,44369.81,42744.06,105801.88,2708.13,0.00,0.00,0.00,8.39,107403.96,65420.85,0.00,3410.34,6235.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,998.55,0.00,55398.61,56.56
China,0.00,18481.71,78852.72,18733.22,2015241.62,55170.57,1500469.01,0.00,0.00,0.00,1809208.47,176931.94,0.00,873323.96,0.73,0.00,0.00,691.16,153.37,0.00,1236584.38,540605.30,685764.71,0.00,0.62,8455.37,10785.29,0.00,340958.38,294.70
Colombia,644367.76,271060.18,110451.05,9036.38,0.00,12417.68,0.00,0.00,14168.68,45.86,0.00,227.64,0.00,0.00,68145.34,176.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3072.81,0.00
Comoros,624.89,776.93,18.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Congo,52106.54,130072.70,162669.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cook Islands,117.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Costa Rica,17194.53,17044.41,13161.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1126.71,0.00,0.00,2187.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.06,0.00
Croatia,0.00,0.00,0.00,0.00,0.00,0.63,638.20,12151.23,3.12,0.00,0.00,0.00,0.00,41134.28,718.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.95,0.00,0.00,0.00,0.00
Cuba,738.12,2860.82,101375.04,0.00,0.00,2929.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.83,16.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Curaçao,0.00,0.00,0.00,262.53,0.00,152.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cyprus,0.00,0.00,0.00,0.00,0.00,5894.33,0.00,3040.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Czech Republic,0.00,0.00,0.00,0.00,0.00,0.00,6863.95,0.00,0.00,0.00,0.00,0.00,0.00,48835.24,17051.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6001.77,0.00,0.00,0.00,0.00
Côte d'Ivoire,3628.09,25030.24,291696.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Democratic People's Republic of Korea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9127.75,0.00,0.00,1550.10,0.00,0.00,0.00,0.00,0.00,0.00,89299.98,18233.99,55.73,0.00,3501.53,107.68,0.00,0.00,0.00,0.00
Democratic Republic of the Congo,624437.85,482779.14,1210947.55,0.00,0.00,0.00,0.00,0.00,4240.17,0.00,223.85,1.71,0.00,0.00,2556.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.10,0.00
Denmark,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.84,0.00,0.00,0.00,0.00,5.43,41687.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Djibouti,0.00,0.00,0.00,21703.58,0.00,17.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dominica,661.45,1.65,36.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dominican Republic,9183.72,57.31,25880.29,10.58,0.00,10543.23,0.00,0.00,77.23,0.00,0.00,30.01,0.00,29.92,2202.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ecuador,113918.25,21009.47,53160.81,1705.81,0.00,13023.47,19.63,0.00,7026.38,0.85,0.00,2159.60,0.00,0.85,35576.06,108.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6150.76,0.00
Egypt,0.00,0.00,0.00,1000273.45,157.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
El Salvador,0.00,0.00,20391.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Equatorial Guinea,2312.80,22934.16,1159.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,113.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Eritrea,0.00,0.00,4070.41,70282.30,0.00,47680.83,0.00,0.00,0.00,0.00,0.00,1.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Estonia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.84,0.00,0.00,0.00,0.00,0.00,2652.60,5713.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,236.14,36390.42,0.00,0.00,0.00,0.00
Ethiopia,15843.37,53489.09,481932.56,215728.51,0.00,273460.12,0.00,110.16,18009.34,0.00,2812.78,41871.18,0.83,0.00,24044.42,59.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.20,0.00
Faroe Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,862.44,139.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fiji,14764.35,2877.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Finland,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.72,0.00,0.00,0.00,0.00,0.00,0.00,3605.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.33,301619.85,27618.16,0.00,0.00,0.00
France,43636.68,59737.29,4322.72,0.00,0.00,8223.93,8281.53,164295.88,32177.32,0.00,2.40,0.00,0.00,282868.99,41894.82,65.45,0.00,785.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7631.57,1912.94,0.00,6600.27,0.00
Gabon,0.00,48120.09,211205.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gambia,0.00,0.00,166.57,0.00,0.00,10141.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Georgia,0.00,0.00,0.00,0.00,0.00,1694.74,4731.42,0.00,0.00,0.00,0.00,0.00,0.00,33167.19,478.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5219.77,21938.02,2078.18,0.00,71.24,0.00
Germany,0.00,0.00,0.00,0.00,0.00,0.00,12934.66,0.00,0.00,0.00,0.00,0.00,0.00,199822.53,142415.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1908.66,17.47,0.00,0.00,0.00
Ghana,0.00,21106.76,216714.91,0.00,0.00,107.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Greece,0.00,0.00,0.00,0.00,0.00,26713.82,16294.75,84964.90,1048.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.24,613.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Greenland,0.00,0.00,0.00,0.00,114.20,0.00,10696.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6477.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31516.09,0.00,1030414.79,1026606.85
Grenada,5.01,24.23,295.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guatemala,4279.26,32260.43,58750.13,0.00,0.00,1941.73,0.00,0.00,14.87,0.00,131.16,10291.73,0.00,117.91,939.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guinea,0.00,36539.27,205596.79,0.00,0.00,1891.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guinea-Bissau,0.00,0.00,31683.44,0.00,0.00,472.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guyana,92194.00,56105.67,62576.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Haiti,1804.02,875.43,20046.30,4.07,0.00,3398.81,0.00,0.00,48.76,0.00,0.00,10.55,0.00,0.00,330.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Holy See,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Honduras,453.04,28399.14,79904.59,0.00,0.00,1817.41,0.00,7.43,47.10,0.00,85.22,847.59,0.00,2.47,24.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Hong Kong,0.00,779.97,22.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,178.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Hungary,0.00,0.00,0.00,0.00,0.00,0.00,56967.23,0.00,0.00,0.00,0.00,0.00,0.00,36189.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.90,21.29,0.00,0.00,0.00,0.00
Iceland,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,272.79,1608.44,0.00,0.00,0.00,0.00,15404.53,36729.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15773.84,0.00,30862.93,0.00
India,0.00,257614.69,1843940.52,178654.02,13024.92,505316.71,31213.47,1435.06,76.90,0.00,184758.91,36941.17,0.00,8639.94,1826.33,0.00,36.07,4691.61,3564.65,0.00,0.00,16159.83,7682.30,0.00,9.19,11309.45,8708.17,0.00,30633.44,22.62
Indonesia,1592040.84,120477.88,102875.23,0.00,0.00,385.75,0.00,0.00,0.00,0.00,0.00,1592.82,0.00,0.00,36280.10,4.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1643.71,0.00
Iran,0.00,0.00,0.00,974569.73,44080.94,200378.73,258566.45,117987.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20746.70,5264.69,64.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Iraq,0.00,0.00,0.00,366799.47,0.00,36606.52,226.38,32844.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,847.33,2.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ireland,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.45,0.00,0.00,0.00,0.00,0.00,68935.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Israel,0.00,0.00,0.00,13136.45,0.00,6884.08,0.00,1838.21,4.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Italy,0.00,0.00,0.00,3.84,0.00,40473.80,10229.88,153411.38,2009.77,0.00,0.00,0.00,0.00,64197.05,7567.97,0.00,0.00,509.62,3.88,0.00,0.00,0.00,0.00,0.00,0.00,16387.82,4668.86,0.00,313.28,0.00
Jamaica,1644.45,2557.95,6172.13,0.00,0.00,441.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Japan,1708.49,32.45,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11971.05,0.00,0.00,257505.50,12.14,0.00,0.00,0.00,0.00,0.00,115.44,174.04,0.00,0.00,82311.11,14325.69,68.09,0.00,1.42,0.00
Jordan,0.00,0.00,0.00,84243.94,20.73,4533.84,65.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kazakhstan,0.00,0.00,0.00,14400.42,1248422.06,33439.72,1305360.77,17132.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5726.26,3959.19,613.92,0.00,416.18,187.44,94.42,0.00,34189.74,38427.47,17404.05,0.00,897.76,3.18
Kenya,22382.75,9949.92,147905.46,99368.45,0.00,284392.79,0.00,0.00,807.70,0.00,0.00,380.29,0.00,0.00,20152.30,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,171.81,0.00
Kiribati,377.57,31.60,35.87,0.00,0.00,3.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kuwait,0.00,0.00,0.00,17376.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kyrgyzstan,0.00,0.00,0.00,1103.23,7310.93,749.81,100672.63,856.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4591.42,29056.34,9488.77,0.00,0.00,5.14,754.92,0.00,525.15,16244.65,21227.36,0.00,6350.71,31.29
Lao People's Democratic Republic,0.00,69247.34,137317.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21395.75,139.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Latvia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12379.21,13716.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,143.33,38117.68,0.00,0.00,0.00,0.00
Lebanon,0.00,0.00,0.00,0.00,0.00,290.63,94.39,9073.71,375.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lesotho,0.00,0.00,0.00,0.00,0.00,2494.57,391.73,0.00,0.00,0.00,8548.92,18076.13,0.00,48.77,547.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Liberia,24779.38,66263.48,4187.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Libya,0.00,0.00,0.00,1608226.48,0.00,14328.59,14.45,316.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Liechtenstein,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.76,26.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.27,0.00,0.00,0.00,0.00
