Country,forest:good:degraded,forest:marginal:degraded,forest:poor:degraded,forest:verypoor:degraded,forest:good:nondegraded,forest:marginal:nondegraded,forest:poor:nondegraded,forest:verypoor:nondegraded,cropland:good:degraded,cropland:marginal:degraded,cropland:poor:degraded,cropland:verypoor:degraded,cropland:good:nondegraded,cropland:marginal:nondegraded,cropland:poor:nondegraded,cropland:verypoor:nondegraded,grassland:good:degraded,grassland:marginal:degraded,grassland:poor:degraded,grassland:verypoor:degraded,grassland:good:nondegraded,grassland:marginal:nondegraded,grassland:poor:nondegraded,grassland:verypoor:nondegraded,bare:good:degraded,bare:marginal:degraded,bare:poor:degraded,bare:verypoor:degraded,bare:good:nondegraded,bare:marginal:nondegraded,bare:poor:nondegraded,bare:verypoor:nondegraded,urban:good:degraded,urban:marginal:degraded,urban:poor:degraded,urban:verypoor:degraded,urban:good:nondegraded,urban:marginal:nondegraded,urban:poor:nondegraded,urban:verypoor:nondegraded,water:good:degraded,water:marginal:degraded,water:poor:degraded,water:verypoor:degraded,water:good:nondegraded,water:marginal:nondegraded,water:poor:nondegraded,water:verypoor:nondegraded,ice:good:degraded,ice:marginal:degraded,ice:poor:degraded,ice:verypoor:degraded,ice:good:nondegraded,ice:marginal:nondegraded,ice:poor:nondegraded,ice:verypoor:nondegraded
Bhutan,1838.52,166.95,102.52,294.70,21557.07,1220.55,995.19,2782.80,24.39,0.51,0.08,2.03,499.58,9.55,8.35,42.43,232.36,12.17,30.65,216.72,2425.75,225.79,335.56,1897.76,0.25,0.00,0.08,2.53,2.96,0.51,1.01,19.53,0.17,0.00,0.00,0.00,5.69,0.00,0.00,0.00,0.76,0.00,0.59,0.34,4.32,0.00,1.26,2.02,12.20,0.00,3.45,14.82,6.73,0.34,20.52,46.38
Bolivia,64694.11,13727.15,5127.57,3608.86,371799.48,50675.02,29927.62,11931.35,9795.51,455.13,161.50,52.07,19098.14,2520.24,2202.48,180.58,60308.76,8038.37,2363.65,342.05,188497.33,61506.36,69802.89,2105.51,4601.64,121.83,528.19,0.27,68118.00,3459.39,8948.41,519.78,523.41,14.50,15.27,0.00,474.89,119.01,113.96,0.36,845.49,98.33,35.98,0.09,5687.40,685.84,851.18,30.40,70.13,152.04,0.64,0.00,364.26,403.70,16.54,0.00
Bosnia and Herzegovina,54.51,19.31,52.28,11.40,16352.75,4302.59,3535.78,1911.80,286.39,30.79,40.56,31.55,8339.62,1468.08,1023.67,683.79,302.72,37.27,180.47,162.40,4278.99,1972.57,3023.10,2846.29,0.35,0.62,2.29,0.07,0.00,1.87,5.41,1.73,71.62,2.88,6.51,6.48,282.29,48.18,29.85,17.41,6.11,0.00,0.00,0.42,154.15,42.18,37.76,23.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Botswana,8433.08,1954.32,1047.84,442.26,22473.47,2987.95,2035.71,885.73,9102.93,1454.44,603.32,174.68,15690.50,1036.62,264.78,87.73,223651.69,30908.71,8402.88,2573.59,187412.11,28405.53,10751.61,3934.67,3575.01,1072.46,436.10,269.45,2660.11,799.16,113.54,159.58,93.40,40.06,12.25,15.08,156.22,74.00,10.40,8.47,218.04,97.79,34.28,27.78,109.52,31.81,18.04,57.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brazil,364353.29,186009.26,91300.55,42235.44,2160568.55,742686.99,338068.18,114117.60,165808.43,79824.05,44576.86,10445.76,262874.99,132764.29,113382.03,18466.41,701717.99,222237.42,128910.48,33388.84,1392584.50,470691.94,315425.97,62765.81,997.59,70.30,20.55,3.67,1501.75,60.67,32.40,5.72,8139.83,2624.59,1245.15,238.64,8228.35,2149.76,1334.97,294.76,10862.62,3145.28,1806.52,242.82,61310.00,15110.11,7356.19,923.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brunei,167.81,0.00,0.00,0.00,4529.62,0.00,0.00,0.00,31.24,0.00,0.00,0.00,235.13,0.00,0.00,0.00,33.61,0.00,0.00,0.00,253.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.52,0.00,0.00,0.00,54.70,0.00,0.00,0.00,5.11,0.00,0.00,0.00,46.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bulgaria,71.29,206.84,600.84,23.20,7206.13,12169.99,17783.28,1115.34,1655.24,434.37,283.34,102.49,17833.79,7157.17,5161.36,1098.42,1409.64,618.88,544.52,307.30,13099.63,7519.49,8023.56,2891.83,5.84,13.66,29.19,4.74,36.15,127.04,311.28,23.19,91.54,52.92,31.45,13.96,1055.45,559.28,333.88,90.23,6.28,10.78,10.37,3.39,243.05,376.31,215.86,121.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Burkina Faso,77.49,73.87,39.48,7.88,3439.54,2344.86,415.90,153.52,9901.07,10866.76,4707.76,654.04,46733.54,57134.11,18211.73,3239.00,5420.45,4678.54,3395.23,458.65,43774.78,38967.13,12757.27,2026.98,54.15,32.58,194.74,1.57,166.00,174.51,419.61,4.33,19.75,92.56,1.76,0.56,91.67,167.62,4.09,0.65,36.64,35.58,40.87,22.91,293.22,368.99,172.21,3.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Burundi,119.32,258.24,76.39,2.37,687.75,970.33,268.15,18.49,235.41,123.74,68.45,7.11,822.49,335.21,178.64,18.77,2590.20,994.53,452.58,63.15,10478.60,3822.38,1528.49,331.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.84,5.21,6.54,0.09,43.90,7.49,7.49,0.00,1.33,3.89,0.09,2.37,27.22,157.23,137.81,48.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cambodia,10831.25,4061.27,533.37,104.96,26101.99,17181.77,913.11,436.28,19940.09,2514.20,1280.15,76.83,37666.07,2721.38,2064.53,159.09,11087.79,3360.41,1166.66,233.61,23494.40,6720.48,1856.31,912.61,7.80,0.00,0.00,0.00,11.98,1.67,0.00,0.00,205.51,3.97,2.78,0.00,98.17,1.58,3.34,0.56,408.82,45.26,8.43,7.79,1036.49,204.24,78.58,30.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
