Country,forest:good:degraded,forest:marginal:degraded,forest:poor:degraded,forest:verypoor:degraded,forest:good:nondegraded,forest:marginal:nondegraded,forest:poor:nondegraded,forest:verypoor:nondegraded,cropland:good:degraded,cropland:marginal:degraded,cropland:poor:degraded,cropland:verypoor:degraded,cropland:good:nondegraded,cropland:marginal:nondegraded,cropland:poor:nondegraded,cropland:verypoor:nondegraded,grassland:good:degraded,grassland:marginal:degraded,grassland:poor:degraded,grassland:verypoor:degraded,grassland:good:nondegraded,grassland:marginal:nondegraded,grassland:poor:nondegraded,grassland:verypoor:nondegraded,bare:good:degraded,bare:marginal:degraded,bare:poor:degraded,bare:verypoor:degraded,bare:good:nondegraded,bare:marginal:nondegraded,bare:poor:nondegraded,bare:verypoor:nondegraded,urban:good:degraded,urban:marginal:degraded,urban:poor:degraded,urban:verypoor:degraded,urban:good:nondegraded,urban:marginal:nondegraded,urban:poor:nondegraded,urban:verypoor:nondegraded,water:good:degraded,water:marginal:degraded,water:poor:degraded,water:verypoor:degraded,water:good:nondegraded,water:marginal:nondegraded,water:poor:nondegraded,water:verypoor:nondegraded,ice:good:degraded,ice:marginal:degraded,ice:poor:degraded,ice:verypoor:degraded,ice:good:nondegraded,ice:marginal:nondegraded,ice:poor:nondegraded,ice:verypoor:nondegraded
Kiribati,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kuwait,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.72,41.06,2.15,0.00,47.09,92.30,12.30,0.00,9.79,94.59,2.58,0.00,69.32,163.53,20.07,0.17,54.34,598.79,51.76,0.00,1158.98,8974.01,4908.09,373.96,2.99,3.33,0.00,0.00,68.80,246.28,0.00,0.00,1.16,1.08,0.00,0.00,11.08,33.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kyrgyzstan,28.98,65.95,152.79,115.33,609.81,1062.85,1772.04,1182.30,1919.48,238.73,348.28,227.74,15954.50,3253.07,3645.89,2178.51,2389.34,1118.38,1708.28,927.92,27052.26,11531.57,16322.14,7453.10,138.07,128.12,71.30,54.22,1093.08,255.25,293.04,163.19,128.25,0.07,0.22,0.51,440.68,34.03,9.45,8.49,29.41,10.79,1.49,1.13,497.06,79.04,109.60,75.78,1.37,0.73,1.44,3.05,2.82,2.05,6.15,10.76
Lao People's Democratic Republic,3000.40,15818.41,281.19,18.76,10379.42,58209.56,1396.11,66.86,8224.81,4176.64,110.29,2.87,10412.21,6851.98,363.12,14.09,6782.46,17374.22,467.72,24.41,16316.57,64070.91,1520.94,115.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.12,9.49,0.36,0.00,32.98,6.43,0.00,0.00,310.05,167.27,1.27,0.00,726.95,742.09,2.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Latvia,1277.06,343.26,18.87,12.05,19930.76,10006.17,292.98,68.39,144.36,31.09,1.68,0.16,7846.55,5496.57,163.06,19.66,448.79,46.66,2.51,0.36,9955.59,5692.73,178.76,31.93,0.00,0.00,0.00,0.00,0.93,0.05,0.00,0.00,0.84,0.68,1.05,0.00,65.97,90.91,37.20,48.38,5.92,1.11,2.09,0.10,479.47,478.27,144.71,42.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lebanon,0.00,2.60,8.16,3.25,0.00,43.70,21.19,14.17,43.36,243.94,179.97,41.63,61.03,1333.19,1614.59,329.97,44.87,331.85,369.80,118.88,53.37,1420.64,1497.17,739.10,5.11,14.48,19.22,7.75,5.83,101.74,99.71,89.92,15.81,20.82,67.23,16.54,6.61,39.79,70.87,29.53,4.88,0.00,1.74,0.16,16.28,15.03,19.72,7.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lesotho,1.16,20.27,0.00,0.00,13.25,139.36,1.57,0.00,139.68,578.73,7.36,1.00,1438.70,2671.91,153.76,4.58,284.79,4761.29,198.61,4.25,1885.03,16080.09,1458.10,79.91,0.00,2.66,0.00,0.00,0.00,3.32,0.00,0.00,6.73,12.29,0.08,0.00,51.09,26.74,4.20,0.08,0.08,20.93,0.00,0.00,1.83,44.53,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Liberia,6796.16,5614.49,403.20,35.53,16735.31,11748.34,1178.29,265.85,4751.83,1105.11,101.19,11.61,16640.90,3231.71,515.93,169.68,4258.89,1988.78,174.92,18.11,13306.51,4538.67,530.46,123.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,101.46,3.48,0.09,0.09,98.45,4.33,0.38,0.00,30.52,4.53,0.00,0.00,278.08,12.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Libya,7.78,307.76,163.76,580.17,0.00,56.87,11.79,90.68,2560.13,1099.76,1365.34,364.89,1679.81,911.93,998.61,113.33,5824.61,2255.56,3226.25,2138.73,21419.92,8820.29,5592.84,2201.48,3494.25,2024.31,1584.27,383.01,532689.97,442738.46,124978.80,49782.70,149.14,123.92,383.59,11.81,144.62,43.72,151.29,10.58,30.69,4.10,27.00,3.37,354.57,237.40,249.76,22.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Liechtenstein,0.00,0.00,0.00,0.00,0.13,39.95,9.77,11.33,0.00,0.00,0.00,0.00,1.56,4.49,0.13,0.00,0.00,0.00,0.00,0.00,3.90,39.23,8.41,6.12,0.00,0.00,0.00,0.00,0.00,0.33,0.20,0.07,0.00,0.00,0.00,0.00,0.45,10.80,0.85,0.07,0.00,0.00,0.00,0.00,0.39,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lithuania,241.35,99.01,0.00,0.00,13663.27,5441.73,2.33,0.00,353.36,51.14,0.00,0.00,18848.69,5351.05,1.03,0.00,506.42,45.19,0.00,0.00,14929.23,3183.67,1.95,0.00,0.00,0.00,0.00,0.00,0.00,2.82,0.00,0.00,2.56,0.70,0.00,0.00,645.68,81.74,0.22,0.00,4.78,1.20,0.00,0.00,846.05,336.12,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Luxembourg,0.12,13.00,5.86,0.31,83.13,317.46,175.59,14.03,1.49,30.57,9.86,0.06,70.44,215.26,112.99,16.14,10.53,90.51,18.31,0.19,286.12,567.43,354.84,52.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.24,4.56,0.37,0.00,61.35,42.43,42.88,2.60,0.00,0.00,0.00,0.00,0.00,4.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Madagascar,32708.99,11144.14,990.89,103.58,86493.84,14142.15,2117.45,694.85,3412.77,501.49,82.89,3.12,7279.93,1397.61,73.64,63.48,116283.77,20053.47,4609.15,390.76,219933.09,43857.08,7654.72,1696.79,1336.43,176.10,35.94,1.65,1185.60,225.62,27.07,36.81,147.39,3.25,0.00,0.09,252.92,12.36,0.00,0.00,1055.32,164.58,19.14,2.08,3505.46,580.79,81.34,12.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Malawi,910.74,779.16,1105.58,110.93,7579.42,4991.52,7985.81,537.05,964.33,360.90,312.53,54.55,5284.79,1606.61,1443.46,190.00,5274.65,2782.28,1606.14,722.19,26001.40,12028.60,8610.24,1160.14,0.00,6.40,24.87,0.00,0.09,15.19,76.88,0.46,67.27,16.25,10.42,12.08,74.12,52.49,64.74,43.58,83.41,49.69,4.71,8.17,218.22,501.24,531.66,413.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Malaysia,14234.92,2337.34,175.32,0.00,158070.75,34979.86,1318.18,0.00,8762.14,630.14,119.49,0.00,33030.45,1778.65,114.35,0.00,11584.93,1140.65,298.76,0.00,40267.98,3168.93,334.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1247.97,135.29,1.04,0.00,1741.93,183.64,0.19,0.00,766.81,48.82,0.57,0.00,2609.90,643.65,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maldives,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mali,162.76,56.50,95.34,23.76,3177.68,5126.58,5320.65,2306.11,3690.34,5618.59,2209.87,450.08,91527.28,65416.59,30131.14,5540.53,10959.11,3868.67,2118.07,303.74,162173.41,60351.52,51043.86,9097.32,2465.44,512.10,607.42,47.46,75307.95,186305.96,154090.36,83447.79,15.26,21.85,48.60,35.33,57.72,65.42,50.96,33.26,68.90,22.46,17.22,6.77,2460.07,704.52,415.75,27.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Malta,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.91,0.00,0.00,0.00,91.02,0.00,0.00,0.00,0.31,0.00,0.00,0.00,6.34,0.00,0.00,0.00,8.88,0.00,0.00,0.00,17.15,0.00,0.00,0.00,6.49,0.00,0.00,0.00,58.97,0.00,0.00,0.00,1.70,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marshall Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mauritania,5.30,2.93,0.00,0.00,147.28,32.39,0.73,0.00,769.25,230.50,81.33,128.95,6853.22,2771.36,605.21,524.39,9085.38,1586.39,584.76,482.83,74264.44,26279.24,12049.53,7069.50,2927.21,206.53,283.78,443.83,111344.31,124562.55,89318.61,151943.15,10.78,0.09,0.00,0.27,122.94,27.41,24.50,6.57,25.93,4.03,1.07,0.00,526.11,187.09,60.05,15.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mauritius,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mexico,62207.85,54780.94,24113.46,14616.68,139430.00,171705.05,90371.23,53582.69,6279.27,6126.45,4097.26,2555.01,15214.11,21714.17,13691.65,5701.15,71057.29,40883.06,30613.78,23569.81,387584.00,194794.64,126269.67,105897.62,1779.05,551.55,250.02,137.81,16023.71,3999.41,1383.19,454.10,2773.67,1535.02,982.11,462.87,3535.08,1811.28,1266.29,668.32,748.06,350.09,416.47,262.10,4190.13,3297.65,3038.51,1687.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Micronesia (Federated States of),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Moldova,26.50,0.00,0.13,0.00,2395.05,20.37,5.53,19.86,4679.59,23.41,36.83,0.64,20580.46,187.80,103.14,94.17,420.87,1.89,1.80,0.44,2064.63,41.88,11.28,34.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.83,0.07,0.00,0.06,1983.67,19.08,5.04,10.50,18.65,0.86,0.00,0.00,282.43,10.84,0.19,5.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Monaco,0.00,0.00,0.00,0.00,0.00,2.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.21,0.00,0.00,0.00,0.00,0.00,0.00,7.60,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.14,0.07,0.00,0.00,0.00,0.00,0.00,0.00,1.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mongolia,2850.82,762.70,494.54,59.72,17505.41,5445.40,2751.29,245.22,1451.29,341.52,248.25,46.39,24303.17,2272.76,976.17,186.87,19193.65,4094.53,2143.93,725.56,458694.51,25158.44,9528.82,4747.89,38347.25,1321.92,561.84,344.47,598152.58,8631.33,5095.29,4903.91,20.23,91.92,1.07,0.19,228.16,17.67,9.33,4.61,260.37,11.73,5.34,9.45,3207.22,113.54,103.54,88.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Montenegro,27.97,27.75,50.90,38.79,1066.55,1513.32,2174.40,955.44,84.95,11.15,16.47,9.81,525.96,419.59,407.81,165.05,118.30,29.86,104.73,155.87,707.30,603.91,1490.76,1924.10,1.98,0.00,1.76,1.68,0.92,3.61,17.60,3.72,23.70,2.75,0.84,0.00,24.31,25.33,8.91,0.99,1.56,0.07,0.91,0.07,47.33,16.75,43.42,10.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Morocco,896.07,1081.07,351.93,95.94,1638.39,1972.40,1297.82,390.56,4948.30,3163.95,517.45,131.33,20474.82,10199.27,3793.59,826.44,9211.34,10764.00,3290.90,727.71,49921.48,56398.21,34248.92,7437.58,2276.60,1754.61,536.59,141.51,71540.83,166633.16,81727.74,24556.84,507.56,121.95,27.64,17.93,725.13,337.26,86.12,36.08,95.81,77.76,13.11,2.30,754.15,522.22,122.13,35.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mozambique,103601.53,11744.10,7800.07,2716.89,251136.36,39330.45,21010.21,8770.54,23542.35,2264.09,1847.86,584.36,27413.72,2396.46,1446.99,784.08,63048.79,11379.60,9336.57,3965.27,120509.82,21273.33,10136.10,5425.79,1008.78,273.05,150.81,90.77,2078.47,784.91,612.92,490.72,361.09,22.34,5.76,1.33,152.06,14.65,5.32,2.74,802.36,174.11,54.57,75.36,2603.70,619.02,405.34,681.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Myanmar,18597.33,35899.94,6787.60,2164.63,67952.46,83495.21,23555.63,14532.43,23879.81,8647.24,570.12,21.92,104800.47,30699.06,4756.52,131.17,15027.19,27386.86,2803.03,534.72,64463.52,89845.98,15103.05,2963.72,4.08,0.00,0.00,1.93,4.71,0.00,0.18,3.19,252.51,60.87,0.53,0.00,872.28,143.45,26.69,0.00,1939.25,295.13,13.07,0.28,5033.39,1159.46,136.56,0.52,0.00,0.00,0.00,8.22,0.00,0.00,0.50,19.05
Namibia,689.09,157.15,298.58,185.63,14836.21,3899.49,2104.61,1262.93,1380.69,516.07,151.00,63.74,8594.40,5132.44,3573.39,678.73,32901.73,15407.26,13689.39,34377.83,185801.15,64225.60,56129.87,65821.11,474.87,1096.31,1808.21,2944.35,36521.54,12762.82,17800.84,13628.51,19.92,14.61,9.07,8.74,214.50,195.14,93.39,31.92,92.00,14.76,7.38,8.18,502.80,14.94,52.92,15.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nauru,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nepal,2805.05,2702.78,1281.61,2099.58,19555.84,22109.16,5961.30,8974.00,749.00,273.95,80.45,70.16,21210.53,4609.03,535.09,692.26,891.42,1024.27,656.30,2156.15,8019.17,10170.44,2553.34,6977.03,16.30,14.48,40.12,45.76,72.16,25.61,33.85,63.15,72.09,0.17,0.00,0.00,260.33,23.38,0.42,0.84,12.22,0.08,0.34,4.56,271.96,18.39,0.84,5.98,13.06,25.03,8.62,144.69,20.09,15.53,6.87,174.82
Netherlands,59.93,5.04,0.00,0.00,2110.93,162.68,2.18,0.00,163.88,0.94,0.30,0.00,4631.96,27.46,2.54,0.00,1245.95,19.20,3.60,0.00,19107.17,264.93,26.07,0.00,0.00,0.00,0.00,0.00,7.87,0.00,0.00,0.00,213.05,10.61,3.54,0.00,3227.34,135.82,66.97,0.00,40.86,5.25,0.00,0.00,1112.02,104.82,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
New Zealand,7460.17,358.37,2253.17,68.73,45576.32,2601.40,7697.96,241.32,414.14,65.73,30.88,1.30,1539.61,350.97,139.47,3.08,25366.78,2567.81,4904.96,146.24,103153.20,15421.68,13994.78,399.86,1580.99,254.40,2508.20,138.61,2332.22,509.49,2306.41,74.93,732.39,36.70,29.98,2.06,1132.46,156.83,79.52,9.27,438.12,165.28,88.38,29.62,3402.76,509.91,752.54,244.44,13.68,14.32,595.37,97.10,2.31,2.56,276.85,84.78
Nicaragua,2546.84,1962.89,121.69,47.88,34809.19,25829.97,1782.05,480.65,355.51,119.48,192.66,116.83,4071.28,1056.43,1077.45,659.22,3509.49,1895.81,99.92,243.55,22842.77,10267.19,765.17,1154.62,2.68,0.00,0.00,0.00,20.74,3.41,0.00,0.00,43.46,0.93,2.32,0.28,170.86,12.71,20.25,6.96,49.71,30.98,23.20,55.27,811.08,429.62,284.79,165.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Niger,11.92,5.09,0.46,0.28,9.15,8.70,0.37,0.55,14370.49,1099.82,73.58,27.48,58842.48,2730.23,320.95,15.30,49671.73,1872.58,862.10,120.32,230231.96,9454.75,11356.22,835.24,10945.59,522.08,346.91,143.88,67575.10,257078.30,132512.87,39044.76,40.26,2.12,0.00,0.00,121.64,0.46,5.81,0.45,68.71,0.55,0.46,0.00,357.23,0.91,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nigeria,32361.68,16330.98,5450.37,1550.05,73099.16,41359.80,10224.97,2281.35,94297.30,42782.25,15960.69,1595.40,193846.98,72993.08,20431.21,3077.92,41749.01,17845.08,5545.84,1169.27,114725.09,46148.67,11738.59,2415.01,51.90,0.84,3.34,0.00,88.43,4.54,5.74,0.00,3278.15,1369.91,231.30,25.07,813.37,434.97,70.78,7.53,1336.98,243.80,82.07,54.25,4050.91,860.96,441.78,115.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Niue,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Norway,1589.67,4438.36,2423.85,923.62,22593.75,56882.29,13640.08,4353.75,204.52,135.74,67.48,24.19,5158.16,2439.50,861.97,287.13,1667.57,8688.92,4653.08,1192.60,13703.20,54484.47,22837.94,5094.07,3.55,352.50,1185.80,571.61,16.59,1492.32,3489.41,1415.74,48.19,43.98,35.56,13.68,614.56,827.23,656.11,223.31,147.99,600.10,272.35,67.21,2698.63,6563.33,3575.76,929.03,0.00,11.13,77.10,90.81,0.00,35.51,258.08,282.73
Oman,0.00,0.00,1.66,37.18,0.09,0.00,10.50,174.64,91.62,8.57,12.36,82.32,87.05,12.80,9.81,15.83,852.78,589.28,712.20,1865.85,1669.19,2437.08,3042.47,6437.81,13243.66,1120.74,1078.86,966.64,145226.03,82001.05,13853.76,13966.13,77.30,30.06,15.22,6.68,100.67,100.56,30.94,8.76,14.98,9.12,0.18,7.56,187.65,109.45,35.69,141.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pakistan,54.11,84.21,85.13,572.79,4319.84,3268.66,4129.83,7885.99,9674.73,806.24,1010.99,324.92,185080.60,21533.51,26382.00,6762.42,2241.64,1436.60,2379.24,7706.36,44908.66,42429.34,151345.59,73104.87,1764.58,1803.95,2996.83,2404.19,43698.02,34543.00,83691.07,49532.27,900.51,135.27,32.06,0.33,1978.82,518.28,304.57,38.66,683.98,21.29,53.82,0.70,5270.03,271.51,501.10,17.83,10.22,5.29,13.02,469.65,31.30,17.45,42.69,913.62
Palau,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Palestine,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.08,112.28,45.82,16.23,29.78,151.46,153.88,764.33,578.50,29.75,15.20,20.42,22.50,37.39,128.43,1004.98,679.91,58.40,40.50,38.70,100.70,36.15,72.21,239.33,315.25,23.08,0.48,1.86,0.24,28.61,25.36,173.74,50.53,0.00,0.00,0.00,8.04,0.16,0.00,1.95,31.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Panama,5454.99,647.58,26.76,13.69,31106.30,7792.25,393.29,209.81,1241.69,51.21,8.92,3.29,7656.94,356.95,51.44,16.80,1459.26,215.83,43.07,12.01,10074.52,2361.08,208.65,76.23,3.58,0.00,0.00,0.00,27.73,1.03,0.19,0.09,159.95,1.60,0.09,1.31,154.29,8.18,0.00,0.09,36.89,2.54,14.07,6.00,670.74,133.20,122.49,78.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Papua New Guinea,56340.14,13102.50,3392.89,4769.80,193619.63,75034.09,14284.51,16286.47,4784.22,356.13,200.57,61.12,19959.20,4917.31,1216.36,465.12,4119.21,379.34,410.51,41.01,19477.25,3021.69,2122.20,223.36,2.93,0.00,0.00,0.00,6.80,0.76,0.00,0.00,20.45,3.11,6.09,2.84,119.61,20.82,20.54,2.37,1673.47,36.34,22.17,7.49,4303.73,420.05,275.78,109.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Paraguay,66330.42,3028.24,3292.05,789.50,63200.60,4202.89,3986.40,1444.95,12174.24,1614.97,2000.11,405.07,8141.75,5327.10,3270.01,838.97,85894.62,6641.46,8075.43,1264.19,78751.32,11697.15,10146.91,2298.26,3.61,0.00,0.00,0.00,1.20,0.26,0.00,0.00,182.39,88.58,13.58,4.38,304.35,60.82,23.09,16.00,322.09,118.42,70.38,2.04,1585.20,402.61,406.65,7.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Peru,22674.62,7965.03,26544.10,4567.51,569855.25,36419.94,107795.90,8661.56,2299.84,859.83,1157.42,1073.83,7093.33,3271.65,3736.75,5750.59,14973.16,7574.97,11838.65,24347.50,63024.21,30646.59,32036.66,93094.13,5928.78,2063.88,813.68,1896.00,18213.66,12217.44,12812.21,33509.00,268.73,70.88,94.21,112.36,585.78,274.81,315.05,608.36,1051.30,46.13,87.90,83.77,6872.97,454.52,328.06,724.27,78.21,47.03,447.56,445.61,84.59,222.50,639.09,551.31
Philippines,8551.40,6007.58,184.80,77.63,53269.66,23678.58,1038.04,359.52,7867.01,1986.13,162.10,14.82,63944.76,14815.33,1134.87,98.58,9436.40,1789.14,342.42,75.35,57523.21,10172.51,1661.38,153.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,510.67,140.98,61.96,0.64,899.65,220.09,85.35,5.15,331.36,39.66,4.50,5.62,5315.69,582.18,116.84,47.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Poland,2001.95,31.15,63.76,9.88,76989.53,6385.54,4213.53,748.88,1704.79,51.42,9.44,1.96,61013.47,3666.08,1094.77,232.93,8095.53,267.66,45.34,7.56,125020.44,5400.22,1972.78,416.79,1.14,0.18,0.00,0.00,11.12,0.67,0.18,7.07,188.77,19.45,11.09,41.74,5308.77,807.33,404.06,327.80,83.74,1.31,0.06,0.50,3748.54,275.05,56.78,104.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Portugal,1157.83,3382.53,848.67,265.18,1856.48,5210.63,5640.96,2050.94,1040.47,2429.17,876.68,77.84,3125.70,5298.86,3051.85,246.28,2525.37,6090.81,3088.85,642.83,4316.43,12946.14,13850.95,2502.56,27.65,44.08,18.22,6.70,37.87,61.47,52.40,18.07,166.39,330.06,100.80,5.07,305.85,996.81,345.38,39.74,106.32,127.75,20.52,4.46,206.27,237.55,141.12,62.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Qatar,0.17,0.00,0.00,0.00,14.15,0.00,0.00,0.00,27.20,0.43,42.04,0.00,4.47,0.00,0.17,0.09,21.61,6.03,5.18,0.43,225.03,56.84,15.98,4.06,387.66,57.94,89.99,6.57,5828.07,1146.43,1860.28,429.14,31.60,0.00,0.17,0.00,398.41,15.23,0.43,0.09,0.52,0.00,0.00,0.00,31.26,10.59,3.11,12.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Republic of Korea (South Korea),580.76,230.33,2608.97,94.44,9604.93,4054.49,28007.28,913.50,210.09,49.68,184.24,2.04,2894.96,1128.38,4907.21,55.21,1561.72,147.70,386.09,1.28,16659.02,3092.89,10920.72,103.07,15.35,1.47,2.06,0.00,60.30,10.61,16.27,0.00,373.78,37.92,57.41,0.15,1723.10,325.26,310.47,1.80,53.57,9.98,11.06,0.15,805.03,234.69,454.58,3.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Romania,409.90,1003.89,990.33,56.85,38543.92,16721.68,17622.52,2200.00,10732.10,633.19,327.45,57.99,73586.16,4453.24,2044.67,336.31,3654.83,417.66,311.79,62.05,37969.82,6159.88,5017.00,1216.79,1.14,0.41,0.40,0.00,11.27,1.34,25.49,19.16,256.74,22.38,11.39,0.81,7569.55,466.44,239.67,33.15,49.18,15.99,4.25,0.07,1353.71,234.53,120.08,44.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Russian Federation,182032.74,44194.34,4172.20,3359.07,2923105.34,618824.36,63049.86,45084.62,293336.83,8125.12,3190.46,3053.39,1019147.18,25254.19,10751.55,7955.67,235809.66,21785.20,4392.61,3135.91,1275293.32,178867.82,25798.95,16486.13,847.95,186.06,63.47,68.15,2795.69,1114.21,336.37,260.94,3537.18,264.01,81.08,85.11,24574.82,1922.46,661.96,356.33,6706.59,1445.38,289.26,156.97,92469.44,26621.71,11535.57,6115.45,0.00,3.31,1.53,0.07,0.00,15.92,2.71,1.68
