Country,10,11,12,20,30,40,50,60,61,62,70,71,72,80,81,82,90,100,110,120,121,122,130,140,150,151,152,153,160,170,180,190,200,201,202,210,220
Burundi,1742.25,12572.52,1015.13,1.23,56.97,103.45,145.88,960.84,86.40,233.04,0.00,0.00,0.00,0.00,0.00,0.00,5.87,2224.77,5.59,1941.95,0.00,12.80,3298.97,0.00,0.00,0.00,0.00,0.00,10.25,3.42,235.40,110.64,0.00,0.00,0.00,2272.78,0.00
Cambodia,50575.89,6881.56,499.99,8992.34,7021.19,6227.23,34607.86,24540.21,7.87,5.93,467.36,0.00,0.00,0.93,0.00,0.00,0.37,23477.28,14.92,1501.91,3760.65,0.00,1128.66,0.00,2.51,0.00,0.00,0.00,26.11,322.98,6623.62,316.00,6.22,0.56,14.86,4033.04,0.00
Cameroon,36683.27,12068.59,0.00,610.69,14688.04,8238.91,211966.38,1282.94,0.00,136799.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3678.70,10667.84,15830.87,0.00,1511.88,1782.49,0.00,0.00,0.00,0.00,0.00,137.58,2255.01,1805.24,725.44,6.61,7.05,0.00,3556.37,0.00
Canada,3278.03,534575.75,0.00,0.00,17658.94,13160.17,4.06,177398.47,90690.13,278.79,1118077.43,2165919.72,963.76,8532.40,0.00,0.00,545583.15,393021.48,3373.68,391359.85,0.23,0.00,239523.69,1219979.96,1055435.08,0.00,77.35,107.03,149881.69,0.00,77905.98,11250.57,382207.18,13928.31,0.00,1146235.82,185332.64
Cape Verde,26.82,0.37,0.00,168.97,11.09,49.27,1.56,0.00,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,112.20,248.58,1319.96,0.00,0.18,263.68,0.00,38.27,0.00,0.18,2.56,0.00,28.96,0.36,29.86,821.06,424.47,0.00,336.06,0.00
Central African Republic,4353.03,1975.36,0.19,128.66,3152.03,3100.78,99353.23,9154.23,0.00,394551.44,0.75,0.00,0.00,0.00,0.00,0.00,0.00,2773.38,63603.50,33352.25,0.00,742.78,62.31,0.00,0.00,0.00,0.00,0.00,404.53,93.17,126.92,169.30,3.31,0.57,0.00,882.86,0.00
Chad,122243.52,18305.12,0.00,15066.82,38018.04,43710.22,83.41,429.54,0.00,43849.87,0.19,0.00,0.00,0.00,0.00,0.00,0.00,376.36,520.41,127254.23,0.00,4885.13,128270.96,0.00,42302.80,0.00,1438.56,34152.93,0.00,177.17,7058.41,262.59,633953.59,82.43,87.61,3745.61,0.00
Chile,9248.44,9545.73,0.00,0.59,12621.40,16335.98,92616.00,51813.20,6393.51,8698.76,0.00,0.00,0.00,0.15,0.00,0.00,17278.61,41789.37,1216.25,118856.53,0.00,13.38,28621.61,0.00,115100.25,0.00,0.00,2481.77,0.00,0.00,248.97,2365.73,135432.60,0.00,0.00,37768.01,28133.82
China,603684.34,581982.24,6.78,654527.83,446686.33,429120.55,435446.85,334009.38,170456.84,5.83,524458.32,0.83,3.61,136549.36,0.30,0.00,1035.40,150614.22,53820.63,15926.69,11678.19,8377.46,2582468.49,310.78,225905.88,0.00,2.03,0.17,103.86,1768.52,32587.79,121746.19,1587845.86,25120.12,49214.99,124751.42,64358.28
Colombia,45710.16,23327.72,20.68,0.00,31462.97,38558.29,706165.44,8111.40,0.85,0.00,0.00,0.00,0.00,24.73,0.00,0.00,8.24,13429.93,11451.61,54408.40,0.00,0.38,139435.27,0.00,5240.31,0.00,0.00,0.47,12747.12,3408.95,24321.06,2534.97,253.74,0.00,0.00,14426.71,65.91
