Country,Artificial Surfaces,Cropland,Grassland,Tree Covered Areas,Shrubs Covered Areas,"Herbaceous vegetation, aquatic or regularly flooded",Mangroves,Sparse vegetation,Baresoil,Snow and glaciers,Waterbodies
Greenland,0.00,0.00,9182.02,21499.68,2799.45,67.10,0.00,156171.15,733.69,1960698.09,3222.24
Grenada,0.00,132.12,10.03,173.08,0.00,0.00,0.00,0.00,0.00,0.00,32.60
Guatemala,191.96,16539.58,23912.98,66534.93,0.83,0.82,261.96,0.00,0.00,0.00,1358.05
Guinea,763.05,29935.58,39258.55,154736.02,15648.80,1400.89,164.08,0.00,890.26,0.00,1493.14
Guinea-Bissau,48.50,7572.22,1594.59,15765.78,3630.11,68.60,2784.28,0.00,25.93,0.00,1304.21
Guyana,0.00,3393.42,767.05,192246.49,11222.50,1741.17,382.04,0.00,13.62,0.00,1442.25
Haiti,1.63,18101.09,4194.62,3650.03,0.00,16.15,119.56,97.59,0.00,0.00,697.45
Holy See,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Honduras,33.89,16476.35,9322.06,83750.60,18.19,0.00,1122.03,10.79,0.00,0.00,1510.77
Hong Kong,335.72,0.00,15.04,545.66,20.59,0.00,0.00,0.00,0.00,0.00,120.40
Hungary,4746.41,59163.38,7389.51,19859.92,0.00,631.60,0.00,20.52,0.00,0.00,1373.88
Iceland,335.88,42.67,4901.18,549.60,36575.59,6501.79,0.00,13296.48,26563.05,10923.64,2702.95
India,19584.42,2291694.14,188869.86,410815.45,84202.58,7258.90,3468.85,18595.71,73076.78,25784.16,28088.41
Indonesia,3558.76,281427.30,231.64,1517429.81,23165.84,0.00,9407.28,0.00,0.00,11.11,44562.53
Iran,5358.92,166674.20,50064.65,77861.46,693182.85,27621.44,539.62,11496.48,579206.11,1429.85,9093.52
Iraq,2769.61,78647.22,12842.81,1864.49,11358.10,43558.08,0.00,17887.80,262087.79,0.00,6275.44
Ireland,1275.61,8730.41,38780.27,6752.17,546.35,11229.82,0.00,175.97,251.80,0.00,1703.14
Israel,357.61,7282.61,748.71,104.82,453.02,0.00,0.00,580.22,11896.47,36.76,446.94
