Country,10,11,12,20,30,40,50,60,61,62,70,71,72,80,81,82,90,100,110,120,121,122,130,140,150,151,152,153,160,170,180,190,200,201,202,210,220
Central African Republic,4368.55,1980.65,0.19,131.20,3163.21,3107.74,99550.06,9158.64,0.00,395005.15,0.75,0.00,0.00,0.00,0.00,0.00,0.00,2780.75,63623.38,33473.12,0.00,744.46,62.88,0.00,0.00,0.00,0.00,0.00,412.29,98.76,127.77,170.43,4.07,0.85,0.00,984.05,0.00
Chad,122383.40,18327.27,0.00,15076.08,38052.75,43735.55,83.50,431.50,0.00,44010.16,0.19,0.00,0.00,0.00,0.00,0.00,0.00,377.46,521.05,127364.50,0.00,4890.44,128308.52,0.00,42320.08,0.00,1438.82,34161.80,0.00,178.01,7091.21,262.87,634431.53,82.52,87.61,3765.70,0.00
Chile,9250.32,9571.16,0.00,0.59,12651.53,16389.04,92966.66,52748.69,6432.61,8733.41,0.00,0.00,0.00,0.15,0.00,0.00,17390.46,42109.90,1218.35,119285.36,0.00,13.44,29024.10,0.00,115413.49,0.00,0.00,2486.98,0.00,0.00,256.18,2373.65,135629.60,0.00,0.00,40500.57,28260.99
China,604003.82,582179.74,6.78,655018.20,446792.84,429299.70,435635.94,334167.38,170468.90,5.83,524647.98,0.83,3.69,136658.71,0.30,0.00,1037.68,150728.20,53858.71,15944.71,11716.23,8378.68,2583337.13,310.89,226093.97,0.00,2.03,0.17,105.84,1778.43,32724.21,122039.19,1588458.18,25128.53,49217.95,126420.31,64586.38
Colombia,45736.95,23333.95,20.78,0.00,31483.64,38578.61,707054.36,8112.51,0.85,0.00,0.00,0.00,0.00,25.20,0.00,0.00,8.24,13437.27,11457.81,54425.37,0.00,0.47,139474.39,0.00,5269.10,0.00,0.00,0.47,12794.30,3485.43,24362.15,2539.66,256.00,0.00,0.00,14950.19,65.91
Comoros,2.23,111.84,0.00,0.00,0.28,60.68,814.63,83.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,396.26,2.14,17.96,0.00,0.19,6.52,0.00,0.00,0.00,0.00,0.00,0.00,3.53,0.00,25.02,0.00,0.00,0.00,213.72,0.00
Congo,7761.15,13828.26,0.00,0.00,7932.57,5007.58,179537.01,1163.35,1.14,38235.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23218.31,4547.16,10733.25,0.00,0.00,7295.32,0.00,0.00,0.00,0.00,0.00,40963.75,854.43,820.48,296.45,2.09,0.19,0.00,3552.66,0.00
Cook Islands,1.60,0.89,0.00,0.00,37.99,12.87,74.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.00,0.00,0.00,0.00,0.36,0.00,0.18,0.00,0.00,0.00,100.23,0.00
Costa Rica,2759.56,270.41,0.56,0.00,1443.16,9110.06,32299.23,3299.46,0.00,0.00,0.00,0.00,0.00,3.74,0.00,0.00,3.65,195.75,111.96,4.12,0.00,0.00,97.21,0.00,0.00,0.00,0.00,0.00,172.70,376.78,33.11,436.01,21.67,0.00,0.00,903.52,0.00
Croatia,6477.53,11191.87,533.91,116.39,5354.53,141.44,0.00,17689.31,70.43,0.00,1849.38,0.00,0.00,2.23,0.00,0.00,2420.89,3631.66,26.78,785.05,0.00,0.00,2863.79,0.00,275.00,0.00,0.00,0.00,0.00,0.00,275.47,906.95,75.15,11.70,0.00,1144.58,0.00
Cuba,26125.46,4028.59,5.12,0.00,12285.74,9851.78,16268.07,2663.16,0.00,0.00,1933.56,0.00,0.00,4.70,0.00,0.00,17333.93,2514.92,898.46,26.92,0.00,0.00,5781.13,0.00,8.22,0.00,0.00,0.00,19.78,3687.04,1766.35,847.46,16.79,0.00,0.00,4941.54,0.00
